RangeOfMotion,MotionSpeed,PostureDuration,Smoothness,JerkRMS,MeanVelocity,MaxVelocity,State,LDH_Probability,Risk
0.60,0.61,1.00,0.00,496.90,0.00,40.00,STRAIGHT,0.00,LOW RISK
0.50,3.92,1.00,-0.01,1405.84,-0.00,40.00,STRAIGHT,0.00,LOW RISK
1.63,12.74,1.00,-0.03,2436.24,-0.78,40.00,STRAIGHT,0.00,LOW RISK
1.74,18.81,1.00,-0.04,2733.83,0.39,38.45,STRAIGHT,0.00,LOW RISK
6.96,14.66,1.00,-0.00,2338.03,2.98,39.87,STRAIGHT,0.00,LOW RISK
8.30,13.82,0.88,0.55,1887.48,1.05,75.67,BENDING,15.00,LOW RISK
1.35,7.54,0.81,0.78,1350.39,-0.06,30.20,STRAIGHT,10.50,LOW RISK
5.76,11.12,0.78,0.79,1946.81,2.33,48.56,BENDING,14.85,LOW RISK
0.89,4.60,0.00,1.81,1041.56,-0.02,21.31,BENDING,10.40,LOW RISK
1.69,5.12,0.00,1.70,1097.43,0.34,26.65,BENDING,7.28,LOW RISK
1.55,9.08,0.00,1.00,1822.20,-0.57,71.63,BENDING,12.59,LOW RISK
1.71,5.71,0.00,1.17,1470.08,-0.08,60.03,BENDING,16.32,LOW RISK
1.70,9.82,0.00,0.92,1896.59,-0.79,59.47,BENDING,18.92,LOW RISK
2.72,8.34,0.00,1.07,1798.40,0.63,57.58,BENDING,20.74,LOW RISK
3.61,10.69,0.00,0.82,1979.34,0.47,58.58,BENDING,22.02,LOW RISK
17.31,13.32,0.02,0.57,1650.90,-7.58,70.79,STRAIGHT,15.41,LOW RISK
8.65,14.35,1.00,-0.14,1695.43,-2.68,53.68,STRAIGHT,10.79,LOW RISK
7.44,6.45,1.00,-0.90,972.34,-3.27,30.43,STRAIGHT,7.55,LOW RISK
2.90,4.96,0.31,-1.50,1254.32,-1.14,40.65,RETURNING,20.29,LOW RISK
9.74,11.86,0.00,-0.87,1155.46,1.52,86.02,RETURNING,29.20,MEDIUM RISK
3.27,3.56,0.00,-1.50,711.36,0.50,33.10,RETURNING,27.94,MEDIUM RISK
