RangeOfMotion,MotionSpeed,PostureDuration,Smoothness,JerkRMS,MeanVelocity,MaxVelocity,State,LDH_Probability,Risk
0.98,7.24,0.00,2.29,1285.16,-0.47,19.92,BENDING,10.76,LOW RISK
1.35,5.82,0.00,2.50,1186.08,-0.50,20.00,BENDING,7.53,LOW RISK
1.40,3.09,0.00,3.10,874.95,-0.69,24.40,BENDING,5.27,LOW RISK
3.66,7.36,0.00,2.01,1281.57,1.39,28.02,BENDING,11.19,LOW RISK
289.95,161.35,0.13,-0.55,16569.79,-145.17,2398.86,RETURNING,37.83,MEDIUM RISK
7.32,24.45,0.00,-8.25,5003.33,2.66,126.67,RETURNING,48.98,HIGH RISK
5.93,28.26,0.00,-7.42,5566.12,2.90,112.93,RETURNING,56.79,HIGH RISK
5.93,23.49,0.00,-8.61,4126.64,1.71,80.62,RETURNING,62.25,HIGH RISK
276.44,200.00,0.00,-0.34,21113.95,69.44,2930.84,RETURNING,73.58,HIGH RISK
52.48,64.20,0.00,-1.21,8400.73,-15.60,316.78,RETURNING,81.50,HIGH RISK
10.10,37.36,0.00,-3.16,7318.46,-4.98,238.32,RETURNING,87.05,HIGH RISK
12.06,35.15,0.00,-3.45,7230.84,4.41,148.27,RETURNING,90.94,HIGH RISK
6.99,36.41,0.00,-3.09,6366.80,0.09,159.19,RETURNING,86.16,HIGH RISK
36.74,47.72,0.00,-1.98,7767.78,17.34,291.04,RETURNING,90.31,HIGH RISK
128.66,169.21,0.05,-0.01,19091.60,64.54,2097.19,STRAIGHT,63.22,HIGH RISK
1.17,3.56,0.24,3.33,981.17,-0.42,26.05,BENDING,44.25,HIGH RISK
12.96,73.90,0.00,0.17,17224.71,-1.73,266.34,BENDING,60.98,HIGH RISK
4.49,9.99,0.00,1.08,2806.67,1.01,160.84,BENDING,50.18,HIGH RISK
0.44,0.72,0.00,7.59,385.11,-0.12,20.00,BENDING,35.13,MEDIUM RISK
1.01,7.04,0.00,2.23,1352.21,-0.29,20.02,BENDING,32.09,MEDIUM RISK
0.94,6.45,0.00,2.29,1225.99,-0.24,20.00,BENDING,29.96,MEDIUM RISK
0.37,1.30,0.00,5.26,545.06,-0.18,20.00,BENDING,20.97,LOW RISK
0.79,3.96,0.00,2.84,993.27,0.08,22.05,BENDING,14.68,LOW RISK
1.74,8.89,0.00,1.71,1750.04,0.66,43.82,BENDING,17.78,LOW RISK
0.93,7.36,0.00,2.21,1423.45,-0.15,27.31,BENDING,19.94,LOW RISK
26.41,17.87,0.00,0.55,2485.13,-12.78,129.62,BENDING,36.46,MEDIUM RISK
