Mean,Standard deviation,Max,Min,RMS,Energy,Peak-to-peak,Zero-crossing rate,label
52.595,6.897,67.377,40.751,53.045,2813.776,26.626,0.173,RETURNING
86.169,8.535,105.652,67.654,86.59,7497.879,37.998,0.22,BENDING
85.568,4.398,97.66,74.313,85.681,7341.289,23.347,0.433,BENDING
79.288,4.409,87.118,67.855,79.41,6306.022,19.263,0.094,BENDING
86.028,6.321,98.324,75.02,86.26,7440.704,23.305,0.047,BENDING
31.947,3.274,40.01,23.097,32.115,1031.343,16.912,0.307,STRAIGHT
24.455,1.427,27.948,20.677,24.497,600.08,7.271,0.268,STRAIGHT
80.573,6.877,94.879,67.063,80.866,6539.343,27.816,0.15,BENDING
30.432,2.314,35.795,25.555,30.52,931.474,10.24,0.142,STRAIGHT
33.807,4.734,43.651,23.637,34.137,1165.304,20.014,0.299,STRAIGHT
49.68,3.284,57.341,41.765,49.788,2478.84,15.576,0.276,RETURNING
81.372,5.473,94.531,67.994,81.555,6651.275,26.537,0.165,BENDING
36.445,2.135,40.668,32.575,36.507,1332.777,8.093,0.11,STRAIGHT
88.957,6.552,101.562,75.714,89.198,7956.321,25.847,0.15,BENDING
31.205,4.576,41.589,20.392,31.538,994.663,21.197,0.236,STRAIGHT
40.117,5.444,54.259,29.043,40.484,1638.992,25.215,0.189,RETURNING
39.564,4.249,49.552,28.099,39.791,1583.352,21.453,0.331,STRAIGHT
69.327,6.963,84.441,56.451,69.676,4854.734,27.99,0.22,BENDING
29.268,2.69,35.071,23.342,29.392,863.868,11.728,0.291,STRAIGHT
46.823,4.204,56.769,38.156,47.012,2210.096,18.613,0.26,RETURNING
72.824,6.787,87.175,54.133,73.14,5349.387,33.042,0.244,BENDING
81.062,7.086,96.705,66.269,81.371,6621.319,30.436,0.26,BENDING
45.894,5.282,57.677,33.783,46.196,2134.116,23.894,0.228,RETURNING
58.229,6.892,73.646,44.289,58.635,3438.079,29.357,0.11,RETURNING
71.292,6.121,84.22,59.734,71.554,5119.961,24.486,0.165,BENDING
88.094,5.823,102.933,75.113,88.286,7794.386,27.82,0.268,BENDING
52.955,4.062,62.248,39.816,53.111,2820.777,22.432,0.22,RETURNING
26.131,2.204,31.96,19.706,26.224,687.676,12.254,0.425,STRAIGHT
21.73,3.155,27.211,15.042,21.958,482.141,12.169,0.047,STRAIGHT
59.428,2.725,66.679,48.725,59.49,3539.055,17.954,0.37,RETURNING
21.878,3.627,30.481,12.954,22.177,491.8,17.527,0.299,STRAIGHT
24.68,2.609,31.66,17.41,24.818,615.925,14.25,0.252,STRAIGHT
84.056,6.1,98.964,68.204,84.277,7102.661,30.76,0.291,BENDING
