Mean,Std,Max,Min,RMS,Energy,PeakToPeak,ZeroCrossRate,Label
18.04,6.34,29.22,12.22,19.12,73135.64,17.00,0.00,STRAIGHT
26.97,4.22,32.22,16.22,27.30,149041.53,16.00,0.00,BENDING
12.15,3.53,17.22,5.22,12.66,32040.87,12.00,0.00,STRAIGHT
15.62,0.55,17.22,14.22,15.63,48856.82,3.00,0.00,STRAIGHT
14.29,0.67,15.22,12.22,14.31,40931.69,3.00,0.00,STRAIGHT
12.60,0.54,14.22,12.22,12.62,31836.46,2.00,0.00,STRAIGHT
12.25,0.17,13.22,12.22,12.25,30018.24,1.00,0.00,STRAIGHT
12.24,0.14,13.22,12.22,12.24,29967.36,1.00,0.00,STRAIGHT
12.23,0.10,13.22,12.22,12.23,29916.48,1.00,0.00,STRAIGHT
12.23,0.10,13.22,12.22,12.23,29916.48,1.00,0.00,STRAIGHT
12.22,0.07,13.22,12.22,12.23,29891.04,1.00,0.00,STRAIGHT
13.33,2.35,24.22,12.22,13.54,36645.25,12.00,0.00,STRAIGHT
21.43,1.32,25.22,20.22,21.47,92197.82,5.00,0.00,BENDING
19.68,0.75,22.22,17.22,19.69,77573.94,5.00,0.00,STRAIGHT
22.68,0.56,24.22,21.22,22.69,102937.89,3.00,0.00,BENDING
22.54,1.57,27.22,20.22,22.60,102146.99,7.00,0.00,BENDING
28.14,0.66,29.22,26.22,28.15,158458.22,3.00,0.00,BENDING
29.53,2.05,33.22,27.22,29.61,175302.00,6.00,0.00,BENDING
31.74,0.54,33.22,29.22,31.74,201543.03,4.00,0.00,BENDING
27.19,1.32,31.22,25.22,27.22,148208.70,6.00,0.00,BENDING
26.42,1.72,31.22,24.22,26.48,140193.02,7.00,0.00,BENDING
24.22,2.31,29.22,21.22,24.34,118438.80,8.00,0.00,BENDING
20.01,0.69,21.22,19.22,20.03,80216.38,2.00,0.00,STRAIGHT
17.72,0.87,19.22,17.22,17.74,62949.47,2.00,0.00,STRAIGHT
16.58,0.48,17.22,16.22,16.59,55058.50,1.00,0.00,STRAIGHT
18.83,1.58,20.22,16.22,18.90,71411.16,4.00,0.00,STRAIGHT
19.32,0.46,20.22,17.22,19.33,74694.22,3.00,0.00,STRAIGHT
22.18,3.56,31.22,17.22,22.47,100967.33,14.00,0.00,BENDING
28.18,5.04,40.22,21.22,28.63,163910.17,19.00,0.00,BENDING
25.65,6.97,40.22,20.22,26.59,141360.70,20.00,0.00,BENDING
25.08,1.31,29.22,23.22,25.11,126145.20,6.00,0.00,BENDING
23.90,0.65,25.22,22.22,23.91,114325.41,3.00,0.00,BENDING
25.04,0.69,26.22,23.22,25.05,125545.07,3.00,0.00,BENDING
25.87,1.36,29.22,23.22,25.91,134271.95,6.00,0.00,BENDING
28.49,2.07,31.22,24.22,28.57,163252.77,7.00,0.00,BENDING
29.37,0.58,31.22,28.22,29.38,172644.20,3.00,0.00,BENDING
29.23,0.37,31.22,28.22,29.24,170963.80,3.00,0.00,BENDING
31.72,2.08,34.22,28.22,31.79,202099.14,6.00,0.00,BENDING
32.53,0.47,33.22,31.22,32.53,211684.23,2.00,0.00,BENDING
35.71,2.97,40.22,31.22,35.84,256879.58,9.00,0.00,BENDING
42.12,1.16,44.22,40.22,42.14,355170.47,4.00,0.00,BENDING
44.16,0.23,44.22,43.22,44.17,390119.41,1.00,0.00,BENDING
43.45,1.15,45.22,41.22,43.47,377845.75,4.00,0.00,BENDING
44.56,0.68,45.22,41.22,44.57,397298.44,4.00,0.00,BENDING
42.71,1.28,44.22,40.22,42.73,365155.00,4.00,0.00,BENDING
36.60,2.38,43.22,32.22,36.68,269048.75,11.00,0.00,BENDING
33.55,1.38,36.22,31.22,33.58,225567.64,5.00,0.00,BENDING
30.52,0.95,31.22,29.22,30.53,186476.16,2.00,0.00,BENDING
28.50,0.46,29.22,27.22,28.50,162491.78,2.00,0.00,BENDING
27.43,0.41,28.22,27.22,27.44,150569.39,1.00,0.00,BENDING
27.03,0.39,27.22,26.22,27.04,146208.17,1.00,0.00,BENDING
25.52,0.49,27.22,25.22,25.52,130301.78,2.00,0.00,BENDING
25.21,0.07,25.22,24.22,25.22,127159.94,1.00,0.00,BENDING
24.96,0.44,25.22,24.22,24.96,124638.58,1.00,0.00,BENDING
